gene_name,oncogenicCategory,editor,edit_date,field
TRAF7,Tumor Suppressor Gene,loader,2020-04-22-17-50-38-751558,OncogenicCategory_omnigene_84231
TSC1,Tumor Suppressor Gene,loader,2020-04-22-17-50-44-164328,OncogenicCategory_omnigene_7248
TSC2,Tumor Suppressor Gene,loader,2020-04-22-17-50-48-425736,OncogenicCategory_omnigene_7249
TSHR,Oncogene,loader,2020-04-22-17-50-52-010155,OncogenicCategory_omnigene_7253
U2AF1,Oncogene,loader,2020-04-22-17-50-53-665166,OncogenicCategory_omnigene_7307
VEGFA,Neither,loader,2020-04-22-17-50-56-224755,OncogenicCategory_omnigene_7422
VHL,Tumor Suppressor Gene,loader,2020-04-22-17-50-59-543631,OncogenicCategory_omnigene_7428
VSIR,Neither,loader,2020-04-22-17-24-16-087225,OncogenicCategory_omnigene_64115
VTCN1,Neither,loader,2020-04-22-17-51-01-899951,OncogenicCategory_omnigene_79679
WT1,Tumor Suppressor Gene,loader,2020-04-22-17-51-08-629547,OncogenicCategory_omnigene_7490
XIAP,Neither,loader,2020-04-22-17-51-11-270556,OncogenicCategory_omnigene_331
XPO1,Oncogene,loader,2020-04-22-17-51-13-853760,OncogenicCategory_omnigene_7514
XRCC2,Neither,loader,2020-04-22-17-51-16-245875,OncogenicCategory_omnigene_7516
YAP1,Neither,loader,2020-04-22-17-51-22-744782,OncogenicCategory_omnigene_10413
YES1,Neither,loader,2020-04-22-17-51-24-989080,OncogenicCategory_omnigene_7525
ZBTB2,Neither,loader,2020-04-22-17-51-27-618083,OncogenicCategory_omnigene_57621
ZBTB7A,Neither,loader,2020-04-22-17-51-32-126539,OncogenicCategory_omnigene_51341
ZFHX3,Tumor Suppressor Gene,loader,2020-04-22-17-51-37-225639,OncogenicCategory_omnigene_463
ZNF217,Oncogene,loader,2020-04-22-17-51-39-284104,OncogenicCategory_omnigene_7764
ZNF703,Neither,loader,2020-04-22-17-51-41-228273,OncogenicCategory_omnigene_80139
ZRSR2,Tumor Suppressor Gene,loader,2020-04-22-17-51-42-801078,OncogenicCategory_omnigene_8233
